date,VWAP
2020-01-13 15:51:00,510.0983
2020-01-13 15:52:00,510.1697
2020-01-13 15:53:00,510.2397
2020-01-13 15:54:00,510.296
2020-01-13 15:55:00,510.3785
2020-01-13 15:56:00,510.4779
2020-01-13 15:57:00,510.5554
2020-01-13 15:58:00,510.6328
2020-01-13 15:59:00,510.7005
2020-01-13 16:00:00,510.8049
2020-01-14 09:31:00,544.6531
2020-01-14 09:32:00,544.6173
2020-01-14 09:33:00,544.5192
2020-01-14 09:34:00,544.4396
2020-01-14 09:35:00,544.0541
2020-01-14 09:36:00,543.8735
2020-01-14 09:37:00,543.3688
2020-01-14 09:38:00,542.75
2020-01-14 09:39:00,542.4722
2020-01-14 09:40:00,542.2801
2020-01-14 09:41:00,542.0415
2020-01-14 09:42:00,541.8332
2020-01-14 09:43:00,541.7059
2020-01-14 09:44:00,541.6155
2020-01-14 09:45:00,541.5655
2020-01-14 09:46:00,541.5652
2020-01-14 09:47:00,541.5956
2020-01-14 09:48:00,541.6221
2020-01-14 09:49:00,541.5813
2020-01-14 09:50:00,541.5059
2020-01-14 09:51:00,541.4519
2020-01-14 09:52:00,541.2669
2020-01-14 09:53:00,540.9252
2020-01-14 09:54:00,540.7624
2020-01-14 09:55:00,540.6161
2020-01-14 09:56:00,540.3068
2020-01-14 09:57:00,539.8947
2020-01-14 09:58:00,539.3611
2020-01-14 09:59:00,538.9812
2020-01-14 10:00:00,538.705
2020-01-14 10:01:00,538.5259
2020-01-14 10:02:00,538.3596
2020-01-14 10:03:00,538.2131
2020-01-14 10:04:00,538.0844
2020-01-14 10:05:00,537.9694
2020-01-14 10:06:00,537.9264
2020-01-14 10:07:00,537.8642
2020-01-14 10:08:00,537.8095
2020-01-14 10:09:00,537.7804
2020-01-14 10:10:00,537.7422
2020-01-14 10:11:00,537.6997
2020-01-14 10:12:00,537.6752
2020-01-14 10:13:00,537.6225
2020-01-14 10:14:00,537.5712
2020-01-14 10:15:00,537.5295
2020-01-14 10:16:00,537.4947
2020-01-14 10:17:00,537.4712
2020-01-14 10:18:00,537.4453
2020-01-14 10:19:00,537.4411
2020-01-14 10:20:00,537.4484
2020-01-14 10:21:00,537.4546
2020-01-14 10:22:00,537.4894
2020-01-14 10:23:00,537.5072
2020-01-14 10:24:00,537.5177
2020-01-14 10:25:00,537.5523
2020-01-14 10:26:00,537.6218
2020-01-14 10:27:00,537.6582
2020-01-14 10:28:00,537.6889
2020-01-14 10:29:00,537.7327
2020-01-14 10:30:00,537.7594
2020-01-14 10:31:00,537.7767
2020-01-14 10:32:00,537.8021
2020-01-14 10:33:00,537.8193
2020-01-14 10:34:00,537.8284
2020-01-14 10:35:00,537.8363
2020-01-14 10:36:00,537.8555
2020-01-14 10:37:00,537.8647
2020-01-14 10:38:00,537.8716
2020-01-14 10:39:00,537.8758
2020-01-14 10:40:00,537.8764
2020-01-14 10:41:00,537.8766
2020-01-14 10:42:00,537.8765
2020-01-14 10:43:00,537.8718
2020-01-14 10:44:00,537.8676
2020-01-14 10:45:00,537.8693
2020-01-14 10:46:00,537.8701
2020-01-14 10:47:00,537.8719
2020-01-14 10:48:00,537.8675
2020-01-14 10:49:00,537.8551
2020-01-14 10:50:00,537.846
2020-01-14 10:51:00,537.8371
2020-01-14 10:52:00,537.8286
2020-01-14 10:53:00,537.7939
2020-01-14 10:54:00,537.7661
2020-01-14 10:55:00,537.7511
2020-01-14 10:56:00,537.7323
2020-01-14 10:57:00,537.7232
2020-01-14 10:58:00,537.7143
2020-01-14 10:59:00,537.7081
2020-01-14 11:00:00,537.6992
2020-01-14 11:01:00,537.6852
2020-01-14 11:02:00,537.6825
2020-01-14 11:03:00,537.6802
2020-01-14 11:04:00,537.6788
2020-01-14 11:06:00,537.6769
2020-01-14 11:07:00,537.6791
2020-01-14 11:08:00,537.6778
2020-01-14 11:09:00,537.6773
2020-01-14 11:10:00,537.68
2020-01-14 11:11:00,537.6879
2020-01-14 11:12:00,537.6936
2020-01-14 11:13:00,537.6966
2020-01-14 11:14:00,537.6983
2020-01-14 11:15:00,537.6995
2020-01-14 11:16:00,537.6986
2020-01-14 11:17:00,537.6981
2020-01-14 11:18:00,537.6982
2020-01-14 11:19:00,537.6993
2020-01-14 11:20:00,537.6991
2020-01-14 11:21:00,537.6994
2020-01-14 11:22:00,537.6909
2020-01-14 11:23:00,537.687
