date,Real Middle Band,Real Lower Band,Real Upper Band
2020-01-15 15:37:00,312.4378,310.3259,314.5497
2020-01-15 15:38:00,312.3856,310.2378,314.5334
2020-01-15 15:39:00,312.3343,310.1789,314.4897
2020-01-15 15:40:00,312.2891,310.1314,314.4468
2020-01-15 15:41:00,312.2389,310.0672,314.4106
2020-01-15 15:42:00,312.1836,309.9766,314.3906
2020-01-15 15:43:00,312.1296,309.9034,314.3558
2020-01-15 15:44:00,312.0768,309.8366,314.3169
2020-01-15 15:45:00,312.0178,309.7537,314.2819
2020-01-15 15:46:00,311.9608,309.6908,314.2309
2020-01-15 15:47:00,311.8999,309.6098,314.19
2020-01-15 15:48:00,311.8492,309.5676,314.1309
2020-01-15 15:49:00,311.8032,309.5381,314.0684
2020-01-15 15:50:00,311.7565,309.513,314.0
2020-01-15 15:51:00,311.7166,309.4964,313.9368
2020-01-15 15:52:00,311.6768,309.4874,313.8661
2020-01-15 15:53:00,311.6337,309.4761,313.7912
2020-01-15 15:54:00,311.5902,309.476,313.7043
2020-01-15 15:55:00,311.5458,309.4823,313.6092
2020-01-15 15:56:00,311.5024,309.4965,313.5083
2020-01-15 15:57:00,311.4608,309.513,313.4086
2020-01-15 15:58:00,311.4247,309.5282,313.3211
2020-01-15 15:59:00,311.3915,309.5452,313.2378
2020-01-15 16:00:00,311.3672,309.5662,313.1681
2020-01-16 09:31:00,311.3823,309.5169,313.2478
2020-01-16 09:32:00,311.399,309.4641,313.3339
2020-01-16 09:33:00,311.4263,309.3703,313.4822
2020-01-16 09:34:00,311.4567,309.2657,313.6477
2020-01-16 09:35:00,311.4895,309.1652,313.8138
2020-01-16 09:36:00,311.5216,309.0814,313.9619
2020-01-16 09:37:00,311.5525,309.0093,314.0957
2020-01-16 09:38:00,311.5805,308.9506,314.2105
2020-01-16 09:39:00,311.6149,308.8758,314.3539
2020-01-16 09:40:00,311.6544,308.8039,314.5048
2020-01-16 09:41:00,311.6944,308.7261,314.6627
2020-01-16 09:42:00,311.7376,308.6569,314.8184
2020-01-16 09:43:00,311.7885,308.5889,314.9882
2020-01-16 09:44:00,311.8295,308.5438,315.1152
2020-01-16 09:45:00,311.8691,308.5036,315.2346
2020-01-16 09:46:00,311.9135,308.4658,315.3612
2020-01-16 09:47:00,311.9562,308.4455,315.467
2020-01-16 09:48:00,311.995,308.4283,315.5616
2020-01-16 09:49:00,312.0398,308.4179,315.6617
2020-01-16 09:50:00,312.082,308.4085,315.7554
2020-01-16 09:51:00,312.1268,308.3942,315.8594
2020-01-16 09:52:00,312.1705,308.3946,315.9464
2020-01-16 09:53:00,312.2153,308.401,316.0296
2020-01-16 09:54:00,312.2657,308.4093,316.1221
2020-01-16 09:55:00,312.3182,308.4173,316.2192
2020-01-16 09:56:00,312.3665,308.4323,316.3007
2020-01-16 09:57:00,312.421,308.4525,316.3894
2020-01-16 09:58:00,312.4799,308.4847,316.4751
2020-01-16 09:59:00,312.5387,308.5259,316.5514
2020-01-16 10:00:00,312.594,308.5624,316.6256
2020-01-16 10:01:00,312.6581,308.6175,316.6987
2020-01-16 10:02:00,312.7244,308.6812,316.7676
2020-01-16 10:03:00,312.8019,308.7817,316.8221
2020-01-16 10:04:00,312.8836,308.9217,316.8455
2020-01-16 10:05:00,312.9587,309.0354,316.8821
2020-01-16 10:06:00,313.0311,309.1222,316.94
2020-01-16 10:07:00,313.1041,309.2094,316.9989
2020-01-16 10:08:00,313.1853,309.3098,317.0608
2020-01-16 10:09:00,313.2623,309.4007,317.1239
2020-01-16 10:10:00,313.3391,309.4827,317.1955
2020-01-16 10:11:00,313.421,309.5917,317.2503
2020-01-16 10:12:00,313.504,309.7419,317.2661
2020-01-16 10:13:00,313.5875,309.8883,317.2867
2020-01-16 10:14:00,313.672,310.0395,317.3045
