date,VWAP
2020-01-15 10:38:00,163.1511
2020-01-15 10:39:00,163.1554
2020-01-15 10:40:00,163.1594
2020-01-15 10:41:00,163.1632
2020-01-15 10:42:00,163.1698
2020-01-15 10:43:00,163.1886
2020-01-15 10:44:00,163.1958
2020-01-15 10:45:00,163.2005
2020-01-15 10:46:00,163.2048
2020-01-15 10:47:00,163.21
2020-01-15 10:48:00,163.2168
2020-01-15 10:49:00,163.2224
2020-01-15 10:50:00,163.2245
2020-01-15 10:51:00,163.2273
2020-01-15 10:52:00,163.2306
2020-01-15 10:53:00,163.2329
2020-01-15 10:54:00,163.2357
2020-01-15 10:55:00,163.2383
2020-01-15 10:56:00,163.2411
2020-01-15 10:57:00,163.2447
2020-01-15 10:58:00,163.2471
2020-01-15 10:59:00,163.2507
2020-01-15 11:00:00,163.2539
2020-01-15 11:01:00,163.2585
2020-01-15 11:02:00,163.2624
2020-01-15 11:03:00,163.2645
2020-01-15 11:04:00,163.2669
2020-01-15 11:05:00,163.2694
2020-01-15 11:06:00,163.2715
2020-01-15 11:07:00,163.2736
2020-01-15 11:08:00,163.2772
2020-01-15 11:09:00,163.279
2020-01-15 11:10:00,163.2808
2020-01-15 11:11:00,163.282
2020-01-15 11:12:00,163.2841
2020-01-15 11:13:00,163.2846
2020-01-15 11:14:00,163.2888
2020-01-15 11:15:00,163.2901
2020-01-15 11:16:00,163.2929
2020-01-15 11:17:00,163.2956
2020-01-15 11:18:00,163.299
2020-01-15 11:19:00,163.3019
2020-01-15 11:20:00,163.3034
2020-01-15 11:21:00,163.306
2020-01-15 11:22:00,163.309
2020-01-15 11:23:00,163.31
2020-01-15 11:24:00,163.3115
2020-01-15 11:25:00,163.3129
2020-01-15 11:26:00,163.3147
2020-01-15 11:27:00,163.3159
2020-01-15 11:28:00,163.317
2020-01-15 11:29:00,163.3183
2020-01-15 11:30:00,163.3189
2020-01-15 11:31:00,163.3192
2020-01-15 11:32:00,163.3199
2020-01-15 11:33:00,163.3203
2020-01-15 11:34:00,163.3207
2020-01-15 11:35:00,163.3215
2020-01-15 11:36:00,163.3223
2020-01-15 11:37:00,163.3232
2020-01-15 11:38:00,163.3239
2020-01-15 11:39:00,163.3245
2020-01-15 11:40:00,163.3251
2020-01-15 11:41:00,163.3255
2020-01-15 11:42:00,163.3259
2020-01-15 11:43:00,163.3265
2020-01-15 11:44:00,163.3271
2020-01-15 11:45:00,163.3277
2020-01-15 11:46:00,163.328
2020-01-15 11:47:00,163.3281
2020-01-15 11:48:00,163.3284
2020-01-15 11:49:00,163.3294
2020-01-15 11:50:00,163.3298
2020-01-15 11:51:00,163.3306
2020-01-15 11:52:00,163.3316
2020-01-15 11:53:00,163.3323
2020-01-15 11:54:00,163.3332
2020-01-15 11:55:00,163.3343
2020-01-15 11:56:00,163.3349
2020-01-15 11:57:00,163.3356
2020-01-15 11:58:00,163.336
2020-01-15 11:59:00,163.3363
2020-01-15 12:00:00,163.3367
2020-01-15 12:01:00,163.3378
2020-01-15 12:02:00,163.3383
2020-01-15 12:03:00,163.3389
2020-01-15 12:04:00,163.3399
